Norman SusDat ID,Substance,CAS No.,Lowest PNEC Freshwater [??g//l],Date
NS00000100,"(2Z)-2-[(1,1-Dimethylethyl)imino]tetrahydro-3-(1-methylethyl)-5-phenyl-4H-1,3,5-thiadiazin-4-one",CAS_RN: 953030-84-7,0.56,2018/10/3
NS00000102,Cadusafos,CAS_RN: 95465-99-9,0.016666667,2023/5/21
NS00000107,Chlorsulfuron,CAS_RN: 64902-72-3,0.0011,2018/10/3
NS00000112,Clodinafop-propargyl,CAS_RN: 105512-06-9,4.6,2024/4/11
NS00000113,Cloquintocet-mexyl,CAS_RN: 99607-70-2,0.02,2024/2/5
NS00000114,Cloxacillin,CAS_RN: 61-72-3,0.13,2024/4/11
NS00000116,Cycloxydim,CAS_RN: 101205-02-1,464,2024/4/11
NS00000117,Cyproconazole,CAS_RN: 94361-06-5,1.3,2024/4/11
NS00000118,Cyprodinil,CAS_RN: 121552-61-2,0.33,2024/4/11
NS00000121,Desmetryn,CAS_RN: 1014-69-3,0.025,2018/10/3
NS00000123,Dichlofenthion,CAS_RN: 97-17-6,0.0041,2018/10/3
NS00000133,Etoxazole,CAS_RN: 153233-91-1,0.013,2024/4/11
NS00000134,Fenamiphos,CAS_RN: 22224-92-6,0.012,2023/5/21
NS00000135,Fenarimol,CAS_RN: 60168-88-9,0.00002,2018/10/3
NS00000136,Fenbuconazole,CAS_RN: 114369-43-6,2.3,2023/5/21
NS00000142,Flazasulfuron,CAS_RN: 104040-78-0,0.02,2024/4/11
NS00000144,Fuberidazole,CAS_RN: 3878-19-1,12,2023/5/21
NS00000151,Hexythiazox,CAS_RN: 78587-05-0,0.025,2018/10/3
NS00000171,Moxifloxacin,CAS_RN: 151096-09-2,0.13,2024/4/11
NS00000173,Narasin,CAS_RN: 55134-13-9,0.5,2024/4/11
NS00000179,Oxytetracycline,CAS_RN: 79-57-2,0.5,2024/4/11
NS00000180,Phoxim,CAS_RN: 14816-18-3,0.00074,2024/4/11
NS00000189,Tebufenpyrad,CAS_RN: 119168-77-3,0.24,2023/5/21
NS00000190,Tolclofos-methyl,CAS_RN: 57018-04-9,1.2,2024/4/11
NS00000191,Tolylfluanid,CAS_RN: 731-27-1,0.2,2024/4/11
NS00000196,Propranolol,CAS_RN: 525-66-6,0.16,2024/4/11
NS00000197,Metoprolol,CAS_RN: 51384-51-1,8.6,2024/4/11
NS00000198,Sulfadiazine,CAS_RN: 68-35-9,1,2018/10/3
NS00000199,Sulfamethazine,CAS_RN: 57-68-1,30,2024/4/11
NS00000202,Tylosin,CAS_RN: 1401-69-0,4,2024/4/11
NS00000203,Erythromycin,CAS_RN: 114-07-8,0.3,2024/4/11
NS00000204,Azithromycin,CAS_RN: 83905-01-5,0.019,2024/4/11
NS00000206,Roxithromycin,CAS_RN: 80214-83-1,1,2024/4/11
NS00000207,Carbamazepine,CAS_RN: 298-46-4,2,2024/4/11
NS00000209,Ranitidine,CAS_RN: 66357-35-5,3.1,2018/10/3
NS00000210,Metronidazole,CAS_RN: 443-48-1,0.13,2024/4/11
NS00000211,Trimethoprim,CAS_RN: 738-70-5,0.5,2024/4/11
NS00000212,Diclofenac,CAS_RN: 15307-86-5,0.04,2024/4/11
NS00000213,2-(6-Methoxynaphthalen-2-yl)propanoic acid (DL-Naproxen),CAS_RN: 26159-31-9,1.7,2018/10/3
NS00000214,Ibuprofen,CAS_RN: 15687-27-1,0.011,2024/4/11
NS00000218,Mefenamic acid,CAS_RN: 61-68-7,1,2024/4/11
NS00000219,Bezafibrate,CAS_RN: 41859-67-0,2.3,2024/4/11
NS00000220,Propiconazole,CAS_RN: 60207-90-1,1.4,2024/4/11
NS00000221,DEET,CAS_RN: 134-62-3,88,2024/4/11
NS00000224,Norfloxacin,CAS_RN: 70458-96-7,0.5,2024/4/11
NS00000225,Sulfapyridine,CAS_RN: 144-83-2,0.46,2024/4/11
NS00000226,N-Acetylaminoantipyrine,CAS_RN: 83-15-8,100,2018/10/3
NS00000230,Iopromide,CAS_RN: 73334-07-3,20000,2023/5/25
NS00000231,Acetaminophen,CAS_RN: 103-90-2,46,2024/4/11
NS00000236,Bentazone,CAS_RN: 25057-89-0,270,2024/4/11
NS00000237,Dimethenamid,CAS_RN: 87674-68-8,0.13,2018/10/3
NS00000238,Butam,CAS_RN: 35256-85-0,5.6,2024/4/11
NS00000239,Dinoseb,CAS_RN: 88-85-7,0.03,2024/4/11
NS00000240,Mesotrione,CAS_RN: 104206-82-8,0.14,2024/4/11
NS00000243,MCPA,CAS_RN: 94-74-6,0.66,2024/4/11
NS00000244,Simazine,CAS_RN: 122-34-9,1,2024/4/11
NS00000245,Metolachlor OA,CAS_RN: 152019-73-3,16.6,2024/4/11
NS00000246,Bromacil,CAS_RN: 314-40-9,0.0068,2024/4/11
NS00000247,"2,4-Dichlorophenoxyacetic acid",CAS_RN: 94-75-7,0.6,2024/4/11
NS00000248,Metolachlor,CAS_RN: 51218-45-2,0.2,2018/10/3
NS00000249,Metazachlor,CAS_RN: 67129-08-2,0.02,2024/4/11
NS00000250,Dichlorprop,CAS_RN: 120-36-5,1,2018/10/3
NS00000251,Chlorotoluron,CAS_RN: 15545-48-9,0.6,2024/4/11
NS00000252,Alachlor,CAS_RN: 15972-60-8,0.3,2024/4/11
NS00000253,Dicamba,CAS_RN: 1918-00-9,2.2,2024/4/11
NS00000255,2-Hydroxyatrazine,CAS_RN: 2163-68-0,10,2018/10/3
NS00000256,5-Chloro-2-methyl-3(2H)-isothiazolone,CAS_RN: 26172-55-4,0.28,2024/4/11
NS00000257,Irgarol-descyclopropyl,CAS_RN: 30125-65-6,0.22,2024/4/11
NS00000258,Terbutylazine,CAS_RN: 5915-41-3,0.22,2024/4/11
NS00000260,Isoproturon,CAS_RN: 34123-59-6,0.3,2024/4/11
NS00000262,Atrazine,CAS_RN: 1912-24-9,0.6,2024/4/11
NS00000264,Sulcotrione,CAS_RN: 99105-77-8,0.1,2024/4/11
NS00000265,Diuron,CAS_RN: 330-54-1,0.049,2024/4/11
NS00000268,Sulfamethoxazole,CAS_RN: 723-46-6,0.6,2024/4/11
NS00000270,Octhilinone,CAS_RN: 26530-20-1,0.0071,2024/4/11
NS00000272,Cybutryne,CAS_RN: 28159-98-0,0.0023,2024/4/11
NS00000273,Caffeine,CAS_RN: 58-08-2,1.2,2018/10/18
NS00000275,3-Iodo-2-propynyl-N-butylcarbamate,CAS_RN: 55406-53-6,0.46,2024/4/11
NS00000276,Terbutryn,CAS_RN: 886-50-0,0.065,2024/4/11
NS00000277,(+/-)-2-(4-Chloro-2-methylphenoxy)propionic acid (MCPP),CAS_RN: 93-65-2,0.8,2024/4/11
NS00000280,Tebuconazole,CAS_RN: 107534-96-3,0.24,2024/4/11
NS00000284,Fluoxetine,CAS_RN: 54910-89-3,0.1,2018/10/3
NS00000287,Phenazone,CAS_RN: 60-80-0,1.1,2018/10/3
NS00000291,Benzothiazole,CAS_RN: 95-16-9,240,2024/4/11
NS00000292,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",CAS_RN: 64359-81-5,0.034,2024/4/11
NS00000293,Terbumeton,CAS_RN: 33693-04-8,1.7,2024/4/11
NS00000294,"1,3,5-Triazin-2(1H)-one, 4-((1,1-dimethylethyl)amino)-6-(ethylamino)-",CAS_RN: 66753-07-9,0.0073,2018/10/3
NS00000295,Metolachlor ESA,CAS_RN: 171118-09-5,21.7,2024/4/11
NS00000299,Naphthalene-2-sulfonic acid,CAS_RN: 120-18-3,34,2018/10/3
NS00000305,Flufenacet ESA,CAS_RN: 201668-32-8,760,2024/2/5
NS00000306,Flufenacet OA,CAS_RN: 201668-31-7,4750,2024/2/5
NS00000313,(+/-)-Verapamil,CAS_RN: 52-53-9,2.5311,2018/10/3
NS00000315,"3(2H)-Pyridazinone, 5-amino-4-chloro-",CAS_RN: 6339-19-1,250,2024/4/11
NS00000316,Methyldesphenylchloridazon,CAS_RN: 17254-80-7,37,2024/4/11
NS00000317,Pethoxamid,CAS_RN: 106700-29-2,0.12,2024/4/11
NS00000321,Pinoxaden,CAS_RN: 243973-20-8,0.91,2024/4/11
NS00000322,Metazachlor OXA,CAS_RN: 1231244-60-2,25.7,2024/4/11
NS00000323,Propachlor,CAS_RN: 1918-16-7,0.1,2024/4/11
NS00000324,Flufenacet,CAS_RN: 142459-58-3,0.04,2024/4/11
NS00000326,Ampyrone,CAS_RN: 83-07-8,1.6,2024/4/11
NS00000329,4-Formylaminoantipyrine,CAS_RN: 1672-58-8,1000,2018/10/3
NS00000330,O-Desmethylvenlafaxine,CAS_RN: 93413-62-8,0.88,2024/4/11
NS00000331,Dimethachlor ESA,CAS_RN: 1231710-75-0,100,2024/4/11
NS00000332,Dimethachlor OXA,CAS_RN: 1086384-49-7,46.5,2024/4/11
NS00000333,Metformin,CAS_RN: 657-24-9,160,2024/4/11
NS00000335,Gabapentin,CAS_RN: 60142-96-3,1000,2024/4/11
NS00000337,5-Fluorouracil,CAS_RN: 51-21-8,0.2,2024/4/11
NS00000341,Valsartan,CAS_RN: 137862-53-4,560,2024/4/11
NS00000342,Gemcitabine,CAS_RN: 95058-81-4,5.7,2023/5/25
NS00000343,Hydrochlorothiazide,CAS_RN: 58-93-5,100,2024/4/11
NS00000349,Fipronil,CAS_RN: 120068-37-3,0.00077,2024/4/11
NS00000354,Lamotrigine,CAS_RN: 84057-84-1,8,2024/4/11
NS00000361,Imidacloprid,CAS_RN: 138261-41-3,0.0068,2024/4/11
NS00000362,Pirimicarb,CAS_RN: 23103-98-2,0.09,2024/4/11
NS00000363,Pyrimethanil,CAS_RN: 53112-28-0,1.5,2024/4/11
NS00000366,Perfluorohexanoic acid (PFHxA),CAS_RN: 307-24-4,140,2018/10/3
NS00000368,Perfluorononanoic acid (PFNA),CAS_RN: 375-95-1,1,2018/10/3
NS00000377,Tritosulfuron,CAS_RN: 142469-14-5,0.75,2024/4/11
NS00000378,Propazine,CAS_RN: 139-40-2,0.18,2018/10/3
NS00000383,Cyanazine,CAS_RN: 21725-46-2,0.19,2018/10/3
NS00000384,Dimethoate,CAS_RN: 60-51-5,0.07,2024/4/11
NS00000387,Irbesartan,CAS_RN: 138402-11-6,700,2024/4/11
NS00000389,Foramsulfuron,CAS_RN: 173159-57-4,0.017,2024/4/11
NS00000390,Pyraclostrobin,CAS_RN: 175013-18-0,0.2,2024/4/11
NS00000393,Ethambutol,CAS_RN: 74-55-5,2,2024/4/11
NS00000396,Rosuvastatin,CAS_RN: 287714-41-4,1.8,2023/5/25
NS00000397,Bupropion,CAS_RN: 34911-55-2,1.11,2023/5/25
NS00000398,Telmisartan,CAS_RN: 144701-48-4,49,2024/4/11
NS00000399,Mycophenolic acid,CAS_RN: 24280-93-1,0.1,2023/5/25
NS00000400,Bicalutamide,CAS_RN: 90357-06-5,1,2023/5/25
NS00000413,Clozapine,CAS_RN: 5786-21-0,0.1794,2018/10/3
NS00000414,Atomoxetine,CAS_RN: 83015-26-3,3.2,2023/5/25
NS00000415,Albuterol,CAS_RN: 18559-94-9,1000,2023/5/25
NS00000416,Amisulpride,CAS_RN: 71675-85-9,140,2024/4/11
NS00000423,Iobitridol,CAS_RN: 136949-58-1,407,2023/5/25
NS00000425,Sitagliptin,CAS_RN: 486460-32-6,84,2024/4/11
NS00000433,Difenoconazole,CAS_RN: 119446-68-3,0.76,2024/4/11
NS00000434,Methoxyfenozide,CAS_RN: 161050-58-4,0.086,2024/4/11
NS00000435,Iprovalicarb,CAS_RN: 140923-17-7,190,2024/4/11
NS00000436,Methiocarb,CAS_RN: 2032-65-7,0.01,2024/4/11
NS00000437,Boscalid,CAS_RN: 188425-85-6,12,2024/4/11
NS00000438,Imazamox,CAS_RN: 114311-32-9,0.45,2024/4/11
NS00000439,Fenoxycarb,CAS_RN: 72490-01-8,0.00023,2024/4/11
NS00000440,Flonicamid,CAS_RN: 158062-67-0,62,2024/4/11
NS00000441,Propamocarb,CAS_RN: 24579-73-5,630,2024/2/5
NS00000442,Triclopyr,CAS_RN: 55335-06-3,700,2024/4/11
NS00000443,Pymetrozine,CAS_RN: 123312-89-0,2.5,2024/4/11
NS00000444,Lenacil,CAS_RN: 2164-08-1,0.34,2024/4/11
NS00000445,Chlorpyrifos  (Chlorpyrifos-ethyl),CAS_RN: 2921-88-2,0.00046,2024/4/11
NS00000446,Chlorpyrifos-methyl,CAS_RN: 5598-13-0,0.001,2024/4/11
NS00000447,Methiocarb sulfoxide,CAS_RN: 2635-10-1,0.056,2024/4/11
NS00000448,Thiacloprid,CAS_RN: 111988-49-9,0.01,2024/4/11
NS00000451,Myclobutanil,CAS_RN: 88671-89-0,4,2024/4/11
NS00000452,Fenpropidin,CAS_RN: 67306-00-7,0.078,2024/4/11
NS00000453,Acetamiprid,CAS_RN: 135410-20-7,0.037,2024/4/11
NS00000454,Triclocarban,CAS_RN: 101-20-2,0.00112,2018/10/3
NS00000457,Hexazinone,CAS_RN: 51235-04-2,0.56,2024/4/11
NS00000459,Valsartan acid,CAS_RN: 164265-78-5,320,2024/4/11
NS00000461,Deferasirox,CAS_RN: 201530-41-8,0.53,2023/5/25
NS00000463,Rivastigmine,CAS_RN: 123441-03-2,50,2023/5/25
NS00000464,Capecitabine,CAS_RN: 154361-50-9,280,2023/5/25
NS00000481,Ametryn,CAS_RN: 834-12-8,0.5,2018/10/3
NS00000482,Benalaxyl,CAS_RN: 71626-11-4,20,2024/2/5
NS00000484,Carbaryl,CAS_RN: 63-25-2,0.23,2018/10/3
NS00000485,Chlorfenvinphos,CAS_RN: 470-90-6,0.1,2024/4/11
NS00000487,Dichlorvos,CAS_RN: 62-73-7,0.0006,2024/4/11
NS00000488,Famoxadone,CAS_RN: 131807-57-3,0.14,2024/2/5
NS00000492,Fenamidone,CAS_RN: 161326-34-7,0.95,2024/4/11
NS00000494,Iprodione,CAS_RN: 36734-19-7,0.35,2024/4/11
NS00000495,Mandipropamid,CAS_RN: 374726-62-2,14.6,2024/4/11
NS00000496,Mepanipyrim,CAS_RN: 110235-47-7,2.7,2024/4/11
NS00000497,Metrafenone,CAS_RN: 220899-03-6,4.5,2024/4/11
NS00000499,Cefaclor,CAS_RN: 53994-73-3,0.5,2024/4/11
NS00000500,Chloramphenicol,CAS_RN: 56-75-7,8,2024/4/11
NS00000502,Permethrin,CAS_RN: 52645-53-1,0.00027,2024/4/11
NS00000505,Spiramycin,CAS_RN: 8025-81-8,0.5,2024/4/11
NS00000512,Fluazifop-butyl,CAS_RN: 69806-50-4,1.7,2024/4/11
NS00000514,Nitrofen,CAS_RN: 1836-75-5,26.3,2018/10/3
NS00000515,Oryzalin,CAS_RN: 19044-88-3,0.328,2024/4/11
NS00000516,Oxadixyl,CAS_RN: 77732-09-3,31,2018/10/3
NS00000517,Phosmet,CAS_RN: 732-11-6,0.016,2018/10/3
NS00000518,Procymidone,CAS_RN: 32809-16-8,1.2,2018/10/3
NS00000523,Penconazole,CAS_RN: 66246-88-6,4.2,2024/4/11
NS00000524,Dinotefuran,CAS_RN: 165252-70-0,0.078,2018/10/3
NS00000525,Fenuron,CAS_RN: 101-42-8,1.45,2018/10/3
NS00000527,Heptenophos,CAS_RN: 23560-59-0,0.002,2018/10/3
NS00000528,Parathion,CAS_RN: 56-38-2,0.005,2018/10/3
NS00000529,Pendimethalin,CAS_RN: 40487-42-1,0.3,2024/4/11
NS00000530,Pretilachlor,CAS_RN: 51218-49-6,0.00096,2018/10/3
NS00000531,Vinclozolin,CAS_RN: 50471-44-8,0.9,2018/10/3
NS00000537,Pregabalin,CAS_RN: 148553-50-8,100,2023/5/25
NS00000539,Zonisamide,CAS_RN: 68291-97-4,1000,2023/5/25
NS00000546,Prilocaine,CAS_RN: 721-50-6,150,2023/5/25
NS00000547,Rufinamide,CAS_RN: 106308-44-5,3300,2023/5/25
NS00000548,Torsemide,CAS_RN: 56211-40-6,1670,2024/4/11
NS00000551,Tributylamine,CAS_RN: 102-82-9,88,2018/10/3
NS00000555,Amidosulfuron,CAS_RN: 120923-37-7,0.874,2024/4/11
NS00000557,Mefenpyr-diethyl,CAS_RN: 135590-91-9,1.65,2024/4/11
NS00000558,Metconazole,CAS_RN: 125116-23-6,0.291,2024/4/11
NS00000559,Oxyfluorfen,CAS_RN: 42874-03-3,0.006,2024/4/11
NS00000560,Propyzamide,CAS_RN: 23950-58-5,0.063,2024/4/11
NS00000561,Tembotrione,CAS_RN: 335104-84-2,0.32,2024/4/11
NS00000562,Tepraloxydim,CAS_RN: 149979-41-9,110,2024/4/11
NS00000563,Triflusulfuron-methyl,CAS_RN: 126535-15-7,0.13,2024/4/11
NS00000568,2-Mercaptobenzothiazole,CAS_RN: 149-30-4,4.1,2024/4/11
NS00000572,Oxacillin,CAS_RN: 66-79-5,1,2024/4/11
NS00000573,Pyridate,CAS_RN: 55512-33-9,1,2018/10/3
NS00000577,Tetracycline,CAS_RN: 60-54-8,0.1,2024/4/11
NS00000584,Guanylurea,CAS_RN: 141-83-3,100,2024/4/11
NS00000621,Alfuzosin,CAS_RN: 81403-80-7,200,2023/5/25
NS00000652,Isoxaflutole,CAS_RN: 141112-29-0,0.1,2018/10/3
NS00000653,Proquinazid,CAS_RN: 189278-12-4,0.18,2024/4/11
NS00000663,Letrozole,CAS_RN: 112809-51-5,0.1,2023/5/25
NS00000664,Terbinafine,CAS_RN: 91161-71-6,0.053,2024/4/11
NS00000665,Nilotinib,CAS_RN: 641571-10-0,0.26,2023/5/25
NS00000671,Isoxaben,CAS_RN: 82558-50-7,0.11,2018/10/3
NS00000679,Lacosamide,CAS_RN: 175481-36-4,1000,2023/5/25
NS00000682,Varenicline,CAS_RN: 249296-44-4,0.3,2023/5/25
NS00000685,Ethoprop,CAS_RN: 13194-48-4,0.2,2023/5/21
NS00000686,Bromadiolone,CAS_RN: 28772-56-7,0.017,2023/5/21
NS00000689,Ampicillin,CAS_RN: 69-53-4,0.25,2024/4/11
NS00000690,Cefadroxil,CAS_RN: 50370-12-2,2,2024/4/11
NS00000700,Bromuconazole,CAS_RN: 116255-48-2,1.5,2024/4/11
NS00000703,Mesulfenfos,CAS_RN: 3761-41-9,0.24,2018/10/3
NS00000704,Flutriafol,CAS_RN: 76674-21-0,31,2023/5/21
NS00000706,Molinate,CAS_RN: 2212-67-1,3.8,2018/10/3
NS00000707,2-Naphthoxyacetic acid,CAS_RN: 120-23-0,23.9,2023/5/21
NS00000708,Quinmerac,CAS_RN: 90717-03-6,10,2024/4/11
NS00000709,Tetraconazole,CAS_RN: 112281-77-3,19,2023/5/21
NS00000710,Tri-allate,CAS_RN: 2303-17-5,1.3,2023/5/21
NS00000780,N-Desmethyl Clarithromycin (Clarithromycin met 2 -733),CAS_RN: 101666-68-6,1.5,2024/4/11
NS00001023,Metaflumizone,CAS_RN: 139968-49-3,0.0654,2023/5/21
NS00001036,Ceftibuten,CAS_RN: 97519-39-6,0.25,2024/4/11
NS00001064,Montelukast,CAS_RN: 158966-92-8,7.3,2023/5/25
NS00001106,Amisulbrom,CAS_RN: 348635-87-0,1.39,2024/4/11
NS00001126,Ascorbic acid,CAS_RN: 50-81-7,10200,2023/5/21
NS00001149,Picoxystrobin,CAS_RN: 117428-22-5,0.072,2024/4/11
NS00001165,"Benzene, 1-chloro-3-methyl-4-nitro- (9CI)",CAS_RN: 5367-28-2,16,2018/10/3
NS00001210,Ethephon,CAS_RN: 16672-87-0,4.7,2024/2/5
NS00001217,P-Xylene,CAS_RN: 106-42-3,10,2024/2/5
NS00001276,Thifensulfuron methyl,CAS_RN: 79277-27-3,0.011,2024/4/11
NS00001298,"2,5-Dimethylphenol",CAS_RN: 95-87-4,13.1,2024/2/5
NS00001385,Clobetasol,CAS_RN: 25122-41-2,14,2023/5/25
NS00001402,Pentachloronitrobenzene,CAS_RN: 82-68-8,0.12,2018/10/3
NS00001405,Fosfomycin,CAS_RN: 23155-02-4,2,2024/4/11
NS00001426,Ropivacaine,CAS_RN: 84057-95-4,180,2023/5/25
NS00001447,Florasulam,CAS_RN: 145701-23-1,0.062,2024/4/11
NS00001471,Streptomycin A,CAS_RN: 57-92-1,16,2024/4/11
NS00001488,Pyraflufen-ethyl,CAS_RN: 129630-19-9,0.014,2023/5/21
NS00001500,Ivabradine,CAS_RN: 155974-00-8,88.2,2023/5/25
NS00001502,3-Chloroaniline,CAS_RN: 108-42-9,0.41,2018/10/3
NS00001507,Benzal chloride,CAS_RN: 98-87-3,0.21,2024/2/5
NS00001535,Bendiocarb,CAS_RN: 22781-23-3,0.088,2023/5/21
NS00001536,Cyromazine,CAS_RN: 66215-27-8,2.5,2024/4/11
NS00001544,Vancomycin,CAS_RN: 1404-90-6,8,2024/4/11
NS00001555,Bromoxynil octanoate,CAS_RN: 1689-99-2,0.25,2018/10/3
NS00001562,Phosalone,CAS_RN: 2310-17-0,0.0136,2023/5/21
NS00001574,Cinerin I,CAS_RN: 25402-06-6,0.0014,2018/10/3
NS00001576,Lufenuron,CAS_RN: 103055-07-8,0.04,2023/5/21
NS00001581,Trinexapac-ethyl,CAS_RN: 95266-40-3,1.1,2024/4/11
NS00001590,Cyanide,CAS_RN: 57-12-5,10,2024/4/11
NS00001618,"1,1'-Oxybis[2,3,4,5,6-pentabromobenzene] (BDE 209)",CAS_RN: 1163-19-5,0.2,2018/10/3
NS00001635,Oxamyl,CAS_RN: 23135-22-0,1.9,2024/4/11
NS00001636,Metribuzin,CAS_RN: 21087-64-9,0.058,2024/4/11
NS00001645,2-Ethyl-1-hexanol,CAS_RN: 104-76-7,19,2018/10/3
NS00001649,Mevinphos,CAS_RN: 7786-34-7,0.00017,2024/4/11
NS00001673,"1,1-Dichloroethane",CAS_RN: 75-34-3,10,2024/2/5
NS00001683,Nitrobenzene,CAS_RN: 98-95-3,0.36,2018/10/3
NS00001690,Phenmedipham,CAS_RN: 13684-63-4,1,2024/4/11
NS00001691,Nitrofurantoin,CAS_RN: 67-20-9,64,2024/4/11
NS00001710,Bromophos-ethyl,CAS_RN: 4824-78-6,0.0002,2018/10/3
NS00001715,Nitrilotriacetic acid,CAS_RN: 139-13-9,190,2024/4/11
NS00001717,"o,p'-DDE",CAS_RN: 3424-82-6,0.000755,2018/10/3
NS00001734,Fluroxypyr,CAS_RN: 69377-81-7,123,2024/4/11
NS00001740,Malathion,CAS_RN: 121-75-5,0.006,2018/10/3
NS00001752,3-Chlorophenol,CAS_RN: 108-43-0,4,2018/10/3
NS00001768,Fluopyram,CAS_RN: 658066-35-4,13.5,2024/4/11
NS00001795,Sulfosulfuron,CAS_RN: 141776-32-1,0.021,2024/4/11
NS00001800,Spectinomycin,CAS_RN: 1695-77-8,32,2024/4/11
NS00001814,Benzocaine,CAS_RN: 94-09-7,7.2,2024/2/5
NS00001818,"Phenol, 4-nonyl-, branched",CAS_RN: 84852-15-3,0.043,2024/4/11
NS00001849,Methylparaben,CAS_RN: 99-76-3,5,2018/10/3
NS00001861,"1,2,4-Trichlorobenzene",CAS_RN: 120-82-1,4,2018/10/3
NS00001866,Geraniol,CAS_RN: 106-24-1,0.1,2018/10/3
NS00001886,Secnidazole,CAS_RN: 3366-95-8,1,2024/4/11
NS00001890,Terbutaline,CAS_RN: 23031-25-6,3000,2023/5/25
NS00001911,Phenothrin [(1R)-trans- isomer],CAS_RN: 26046-85-5,0.047,2023/5/21
NS00001912,Aripiprazole,CAS_RN: 129722-12-9,0.261,2023/5/25
NS00001968,Dasatinib,CAS_RN: 302962-49-8,1.8,2023/5/25
NS00002031,"2-(1,1,3,3-Tetramethylbutyl)phenol",CAS_RN: 3884-95-5,1,2018/10/3
NS00002063,Loratadine,CAS_RN: 79794-75-5,5.3,2023/5/25
NS00002080,1-Dodecanol,CAS_RN: 112-53-8,1,2018/10/3
NS00002089,Acetic acid,CAS_RN: 64-19-7,438,2023/5/21
NS00002113,Etofenprox,CAS_RN: 80844-07-1,0.00054,2018/10/3
NS00002126,Propylparaben,CAS_RN: 94-13-3,12.3,2018/10/3
NS00002142,Dichlorodifluoromethane,CAS_RN: 75-71-8,19,2018/10/3
NS00002157,2-Chlorophenol,CAS_RN: 95-57-8,6,2018/10/3
NS00002177,Levonorgestrel,CAS_RN: 797-63-7,0.00001,2023/5/25
NS00002182,Triethylene glycol,CAS_RN: 112-27-6,120000,2024/2/5
NS00002187,Disulfoton,CAS_RN: 298-04-4,0.082,2018/10/3
NS00002192,Dichlobenil,CAS_RN: 1194-65-6,0.63,2024/4/11
NS00002218,Azamethiphos,CAS_RN: 35575-96-3,0.02,2024/4/11
NS00002225,Gentamicin,CAS_RN: 1403-66-3,1,2024/4/11
NS00002253,Acequinocyl,CAS_RN: 57960-19-7,0.6,2024/4/11
NS00002257,Cyflufenamid,CAS_RN: 180409-60-3,2.4,2024/4/11
NS00002288,Triazophos,CAS_RN: 24017-47-8,0.005,2018/10/3
NS00002292,"Benzoic acid, 4-(methylsulfonyl)-2-nitro-",CAS_RN: 110964-79-9,1000,2024/2/5
NS00002299,Bromoform,CAS_RN: 75-25-2,11.3,2018/10/3
NS00002327,Lindane (g-HCH),CAS_RN: 58-89-9,0.02,2018/10/3
NS00002335,Nuarimol,CAS_RN: 63284-71-9,2.5,2018/10/3
NS00002339,Carvedilol,CAS_RN: 72956-09-3,5,2023/5/25
NS00002349,Chloralose,CAS_RN: 15879-93-3,0.099,2023/5/21
NS00002351,Aramite,CAS_RN: 140-57-8,0.069,2018/10/3
NS00002360,"2,3-Dimethylphenol",CAS_RN: 526-75-0,13.1,2024/2/5
NS00002373,Chloropicrin,CAS_RN: 76-06-2,0.011,2023/5/21
NS00002384,Isopropanol,CAS_RN: 67-63-0,2820,2023/5/21
