OPERATOR NAME,NUMBER OF EMPLOYEES 2023,TOTAL REVENUE 2023 (£m),SOURCE
wessex water,2653,530.5,https://corporate.wessexwater.co.uk/media/nktf3g4u/annual-report-and-accounts-2023-24.pdf
british steel limited,4271,1259.703,https://s3.eu-west-2.amazonaws.com/document-api-images-live.ch.gov.uk/docs/3lmrNlJH4tTOb2X4qBQvvkO-D2hdVLKSuW2HbY56yUY/application-pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIAWRGBDBV3E7IDBVG3%2F20250610%2Feu-west-2%2Fs3%2Faws4_request&X-Amz-Date=20250610T171753Z&X-Amz-Expires=60&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCWV1LXdlc3QtMiJHMEUCIGwha68DoXeTfYMYOxpB9v0hBjEAVuihIPubulRHLigRAiEA2b9v9tVb0iQJxY4AOKpO4N4WBIXuR8o0g0CKyBOawCEqxAUIvv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgw0NDkyMjkwMzI4MjIiDOgJhQxVFhX4s4ZKoSqYBVc7Eln2OWpqVPcAYXKsIimbRrIvOlK5SvGxlsz%2B%2FOjODvsdk7PYrTkHyklST%2BCX8WpnY7PXx2wM%2Bp4h435Vguge0xYa6SWAdDUkSgfdY7bzcO2jsC3Uuo1hmp6EIrclFVy7vR8LeaLpQtXwS46cnFCIp2hqo1RzFTDZWUQ18kamCzBWTSVAXjD3HvJd%2F7zGDUKH5E8nnHIDVcyMLvLZrpSdhQs5QIykvd0q%2BYpjynQT099TTX%2FCpvmTXiesXv2KwdlK3%2BpcOp2Y2de%2FrJOpAZfyCYuAs%2FInpjeZf5HJXzPqsDOx8kieciL%2FcU2OPmeP7h3FHd6B47noBidEhPyVfcvLc4eE01GRFxPyyjg1c58a29jcxKEb%2BISk%2B4T8ug6N%2B9lB5i1YHseqXv8ACP%2FLJnUf7C22%2FJnjGdcBtdDxHnU1yrzl1OPfLuej%2FxAG%2FTFV6T6NAcdhnJXzptlBBAFSXKspncGxkV%2BdoTSJy1XmhyiwVs7W%2BQ90LB8PxBKnlP9Mb0WOnnH4W8u0t6qoxz4DuvTPbcL4q%2Bkliw0zXudAcVDBv3pp%2B%2BV1wRmGJA77gSVEZnmi905Ue5hbrDpMjqa3cGHkVz7bDt9pKt%2FHwSOkHmJQLsnP%2FiXudr2KuEckAXzHT9h5CqGOSXLVK3z2uu0pZta5j6Zg1aCEji1h1WfWgkYBLgqVH5J6k%2BKrxMU6hGbQNdUj7vJakQK97yyO%2BhbbG67fx7gzrUbsbrDVwdUP3NCvHSv4G%2BFcHtaJKQ4QApBaVTt%2FW91HMpSjLDOBTDK4frnvMxFpVzBKAFgdEdiHe322CASyKcPiLWQi8zKWdZiz%2BRfudGA7x9%2FKZdCD2WApQBWnkgJ0loK9b2gf29RsvSgSkBcq1L8e6SswmNmgwgY6sQFXJEFVHXDKwD6hZbhxFrPM8cZfzd9XZX1IxmiWKdBjCza17EPCtcuUMI7jrEHiYR6neQQk3pGfatYJbx0dXhM2XxuHxM1jodPpaf0Us8G09b8wqwCCnHZy53d%2FwCG3B1dC7jiZ2FgdAFqSWUwVHLXvj1JNmGRpnM8RslF0EtzcKUvlWmkTQrLqRKN3wP58oQCDp5VyG5t%2FlvoG9hGE%2BLe4nX1O7qqnuo4SzlKfh5%2FZrWI%3D&X-Amz-SignedHeaders=host&response-content-disposition=inline%3Bfilename%3D%22companies_house_document.pdf%22&X-Amz-Signature=41a211dbec49a6edebc1ba7228c00af179f28925fc6a1f83700d3a392e14c374
Sahaviriya Steel Industries UK Limited,In liquidation since 2015,,
SOUTH WEST WATER LTD,1200,729.8,"https://en.wikipedia.org/wiki/South_West_Water 
https://www.pennon-group.co.uk/system/files/press/pennon-fy202324-results.pdf"
Valencia Waste Management Limited,777,208.388,https://pomanda.com/company/00575069/viridor-waste-management-limited
Bradley Park Waste Management Limited,11~15,2.6,"https://www.linkedin.com/company/bradley-park-waste-management-limited/about/
https://pomanda.com/company/06972355/bradley-park-waste-management-limited"
Phillips 66 Limited,14000,147399,"https://www.macrotrends.net/stocks/charts/PSX/phillips-66/number-of-employees
https://www.macrotrends.net/stocks/charts/PSX/phillips-66/revenue"
Urbaser Environmental Limited,79,19.9,https://pomanda.com/company/07888606/urbaser-environmental-limited
DWR CYMRU CYFYNGEDIG LTD,3554,841.3,"https://corporate.dwrcymru.com/-/media/project/files/page-documents/corporate/library/group-annual-report-and-accounts/dwr-cymru-cyfyngedig/2022-2023/english/annual-report-and-accounts-dwr-cymru-cyfyngedig-31-march-2023.ashx?utm_source=chatgpt.com
https://pomanda.com/company/02366777/dwr-cymru-cyfyngedig"
haltermann carless uk limited,175,5.216,https://s3.eu-west-2.amazonaws.com/document-api-images-live.ch.gov.uk/docs/2dujpG74AVYjkCS8_amFqfoDlnPdI9s543fwnSetu7I/application-pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIAWRGBDBV3E7IDBVG3%2F20250610%2Feu-west-2%2Fs3%2Faws4_request&X-Amz-Date=20250610T172846Z&X-Amz-Expires=60&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCWV1LXdlc3QtMiJHMEUCIGwha68DoXeTfYMYOxpB9v0hBjEAVuihIPubulRHLigRAiEA2b9v9tVb0iQJxY4AOKpO4N4WBIXuR8o0g0CKyBOawCEqxAUIvv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgw0NDkyMjkwMzI4MjIiDOgJhQxVFhX4s4ZKoSqYBVc7Eln2OWpqVPcAYXKsIimbRrIvOlK5SvGxlsz%2B%2FOjODvsdk7PYrTkHyklST%2BCX8WpnY7PXx2wM%2Bp4h435Vguge0xYa6SWAdDUkSgfdY7bzcO2jsC3Uuo1hmp6EIrclFVy7vR8LeaLpQtXwS46cnFCIp2hqo1RzFTDZWUQ18kamCzBWTSVAXjD3HvJd%2F7zGDUKH5E8nnHIDVcyMLvLZrpSdhQs5QIykvd0q%2BYpjynQT099TTX%2FCpvmTXiesXv2KwdlK3%2BpcOp2Y2de%2FrJOpAZfyCYuAs%2FInpjeZf5HJXzPqsDOx8kieciL%2FcU2OPmeP7h3FHd6B47noBidEhPyVfcvLc4eE01GRFxPyyjg1c58a29jcxKEb%2BISk%2B4T8ug6N%2B9lB5i1YHseqXv8ACP%2FLJnUf7C22%2FJnjGdcBtdDxHnU1yrzl1OPfLuej%2FxAG%2FTFV6T6NAcdhnJXzptlBBAFSXKspncGxkV%2BdoTSJy1XmhyiwVs7W%2BQ90LB8PxBKnlP9Mb0WOnnH4W8u0t6qoxz4DuvTPbcL4q%2Bkliw0zXudAcVDBv3pp%2B%2BV1wRmGJA77gSVEZnmi905Ue5hbrDpMjqa3cGHkVz7bDt9pKt%2FHwSOkHmJQLsnP%2FiXudr2KuEckAXzHT9h5CqGOSXLVK3z2uu0pZta5j6Zg1aCEji1h1WfWgkYBLgqVH5J6k%2BKrxMU6hGbQNdUj7vJakQK97yyO%2BhbbG67fx7gzrUbsbrDVwdUP3NCvHSv4G%2BFcHtaJKQ4QApBaVTt%2FW91HMpSjLDOBTDK4frnvMxFpVzBKAFgdEdiHe322CASyKcPiLWQi8zKWdZiz%2BRfudGA7x9%2FKZdCD2WApQBWnkgJ0loK9b2gf29RsvSgSkBcq1L8e6SswmNmgwgY6sQFXJEFVHXDKwD6hZbhxFrPM8cZfzd9XZX1IxmiWKdBjCza17EPCtcuUMI7jrEHiYR6neQQk3pGfatYJbx0dXhM2XxuHxM1jodPpaf0Us8G09b8wqwCCnHZy53d%2FwCG3B1dC7jiZ2FgdAFqSWUwVHLXvj1JNmGRpnM8RslF0EtzcKUvlWmkTQrLqRKN3wP58oQCDp5VyG5t%2FlvoG9hGE%2BLe4nX1O7qqnuo4SzlKfh5%2FZrWI%3D&X-Amz-SignedHeaders=host&response-content-disposition=inline%3Bfilename%3D%22companies_house_document.pdf%22&X-Amz-Signature=f9769a6d26a02a2266630efda41df5c599bce8c18a562ec3e2aee0578740ce9a
Viridor Waste Exeter Limited,994,579.4,https://open.endole.co.uk/insight/company/02456473-viridor-limited
